duplication_type	parent	child	ancestor	parent_mean_TPM	child_mean_TPM	ancestor_mean_TPM	parent_tau	child_tau	ancestor_tau	E_P_A	E_C_A	E_PC_A	CDROM_class	binary_TPM1_class	binary_TPM0.5_class	two_method_agreement	analysis_status	pair_key	trajectory	gene1	gene2	Ks	pair_age
TD	Pbre1_01G053000	Pbre1_01G053200	Prupe.6G168100.1	18.8523165	36.84227916666666	11.660157333333334	0.4254065097507523	0.646061390939151	0.6184477827644164	0.2744777853277595	0.3100877050416203	0.2833155247092763	Conservation	Conservation	Conservation	Conservation	classified	Pbre1_01G053000|Pbre1_01G053200	Con	Pbre1_01G053000	Pbre1_01G053200	0.0194083	young
TD	Pbre1_01G113200	Pbre1_01G113400	Prupe.6G210700.1	16.326802333333333	10.288459166666666	11.971323833333331	0.6547138402814111	0.5510368040577733	0.4470865513626834	0.2740016739905374	0.2552179508274183	0.2629260019947878	Conservation	Conservation	Conservation	Conservation	classified	Pbre1_01G113200|Pbre1_01G113400	Con	Pbre1_01G113200	Pbre1_01G113400	0.0924655	young
TD	Pbre1_01G152000	Pbre1_01G152200	Prupe.2G174300.1	44.85412216666667	0.3086058333333333	2.450424	0.999991723941024	0.93349908965954	0.9968801913085152	0.0206687934988685	1.1236091718172243	0.0128540415409023	Neofunctionalization(Child)	Neofunctionalization(Child)	Neofunctionalization(Child)	Neofunctionalization(Child)	classified	Pbre1_01G152000|Pbre1_01G152200	Neo(C)	Pbre1_01G152000	Pbre1_01G152200	0.21122	old
TD	Pbre1_01G222000	Pbre1_01G222200	Prupe.2G214400.1	52.15242933333333	2.4129051666666665	104.34792566666668	0.6854485477613877	0.6866448664773867	0.2919813162848868	0.2003429129690674	0.4372055014970932	0.1843294091454189	Neofunctionalization(Child)	Neofunctionalization(Child)	Neofunctionalization(Child)	Neofunctionalization(Child)	classified	Pbre1_01G222000|Pbre1_01G222200	Neo(C)	Pbre1_01G222000	Pbre1_01G222200	0.1646	old
TD	Pbre1_01G227800	Pbre1_01G228000	Prupe.2G218000.1	0.1929786666666666	0.2075795	1.4349275	0.9562538944744776	0.7242548558986994	0.8386666756200158	0.8617516214837591	0.7728322481596547	0.7633154028518118	Specialization	Specialization	Specialization	Specialization	classified	Pbre1_01G227800|Pbre1_01G228000	Spe	Pbre1_01G227800	Pbre1_01G228000	0.0893181	young
TD	Pbre1_01G242200	Pbre1_01G242400	Prupe.2G227500.1	11.167723166666669	24.745118166666668	37.65436666666667	0.6290536889270923	0.4989308072990177	0.48718978229486	0.3698365052637717	0.115191732645528	0.1533875440893211	Conservation	Conservation	Conservation	Conservation	classified	Pbre1_01G242200|Pbre1_01G242400	Con	Pbre1_01G242200	Pbre1_01G242400	0.0409698	young
TD	Pbre1_01G253400	Pbre1_01G253600	Prupe.2G234200.1	0.7838878333333333	0.8544605	0.3555775	0.6547139099152158	0.7161057311133764	0.7836897769625539	0.5105356504828488	0.5211612894030386	0.514096987052516	Specialization	Specialization	Specialization	Specialization	classified	Pbre1_01G253400|Pbre1_01G253600	Spe	Pbre1_01G253400	Pbre1_01G253600	0.0104126	young
TD	Pbre1_01G260400	Pbre1_01G260600	Prupe.2G238700.1	25.471503	6.5294585000000005	5.559367	0.4964730276369386	0.4472606748988746	0.5249404322633857	0.311582683816162	0.3428328913637352	0.3093999091026408	Conservation	Conservation	Conservation	Conservation	classified	Pbre1_01G260400|Pbre1_01G260600	Con	Pbre1_01G260400	Pbre1_01G260600	0.117277	old
TD	Pbre1_01G294600	Pbre1_01G294800	Prupe.2G257400.1	0.8203463333333333	3.0422365	11.051228833333331	0.9456713663152696	0.951375856443386	0.9535371551418514	1.0329865142296946	1.0468288592068913	1.0438288452677016	Specialization	Specialization	Specialization	Specialization	classified	Pbre1_01G294600|Pbre1_01G294800	Spe	Pbre1_01G294600	Pbre1_01G294800	0.207103	old
TD	Pbre1_01G342200	Pbre1_01G342400	Prupe.2G283100.1	13.2247115	2.5775205	10.682814	0.4046895673291575	0.6852744224360655	0.4740731864934354	0.1894509666252272	0.3380075790854691	0.1886585660773028	Conservation	Conservation	Conservation	Conservation	classified	Pbre1_01G342200|Pbre1_01G342400	Con	Pbre1_01G342200	Pbre1_01G342400	0.0611801	old
TD	Pbre1_01G350400	Pbre1_01G350600	Prupe.2G287500.1	14.053873833333334	3.7917871666666665	27.727636	0.9239449628579974	0.9014309467815934	0.6910571518463224	0.4961214287897953	0.4923048218625427	0.4916941406764972	Specialization	Specialization	Specialization	Specialization	classified	Pbre1_01G350400|Pbre1_01G350600	Spe	Pbre1_01G350400	Pbre1_01G350600	0.093708	young
TD	Pbre1_01G364800	Pbre1_01G365000	Prupe.2G294100.1	254.4742383333333	21.290657666666668	147.17056633333334	0.9199354994768086	0.5379120238516382	0.4441035083017278	0.7186960665213752	0.3959526823318861	0.6814540478871398	Specialization	Specialization	Specialization	Specialization	classified	Pbre1_01G364800|Pbre1_01G365000	Spe	Pbre1_01G364800	Pbre1_01G365000	0.12312	old
TD	Pbre1_01G426000	Pbre1_01G426200	Prupe.2G325200.1	15.7906985	1.7262151666666663	4.300917	0.7608973287665709	0.8249828554959089	0.997860179539438	1.156338669892483	0.5307914286413687	1.0869843978711544	Specialization	Specialization	Specialization	Specialization	classified	Pbre1_01G426000|Pbre1_01G426200	Spe	Pbre1_01G426000	Pbre1_01G426200	0.184742	old
