duplication_type	parent	child	ancestor	parent_mean_TPM	child_mean_TPM	ancestor_mean_TPM	parent_tau	child_tau	ancestor_tau	E_P_A	E_C_A	E_PC_A	CDROM_class	binary_TPM1_class	binary_TPM0.5_class	two_method_agreement	analysis_status	CLOUD_class	three_method_consensus
TD	Pbre1_01G053000	Pbre1_01G053200	Prupe.6G168100.1	18.8523165	36.84227916666666	11.660157333333334	0.4254065097507523	0.646061390939151	0.6184477827644164	0.2744777853277595	0.3100877050416203	0.2833155247092763	Conservation	Conservation	Conservation	Conservation	classified	Conservation	Conservation
TD	Pbre1_01G108000	Pbre1_01G108200	Prupe.6G208400.1	0.0054448333333333	2.8320555	2.8844925	1.0	0.947683030345822	0.7176814370549925	1.1149887158412184	0.9491891975870992	0.9479294879322028	Specialization	Specialization	Specialization	Specialization	classified	Neofunctionalization(Parent)	discordant
TD	Pbre1_01G113200	Pbre1_01G113400	Prupe.6G210700.1	16.326802333333333	10.288459166666666	11.971323833333331	0.6547138402814111	0.5510368040577733	0.4470865513626834	0.2740016739905374	0.2552179508274183	0.2629260019947878	Conservation	Conservation	Conservation	Conservation	classified	Neofunctionalization(Child)	discordant
TD	Pbre1_01G113600	Pbre1_01G113800	Prupe.6G210900.1	8.377898	0.0	117.51408133333334	0.4859132861621427		0.9185178529488264								all_zero_expression_profile	Conservation	discordant
TD	Pbre1_01G115400	Pbre1_01G115600	Prupe.6G211700.1	0.9255691666666668	10.501929166666669	3.4803065	0.5411217060030207	0.5287112227494836	0.8716555429074055	0.5113676820852688	0.5694402367469601	0.5609554963910529	Specialization	Specialization	Specialization	Specialization	classified	Neofunctionalization(Child)	discordant
TD	Pbre1_01G135600	Pbre1_01G135800	Prupe.2G165900.1	0.0	0.0987426666666666	0.224702		0.6713565507580016	0.9697941620920169								all_zero_expression_profile	Conservation	discordant
TD	Pbre1_01G152000	Pbre1_01G152200	Prupe.2G174300.1	44.85412216666667	0.3086058333333333	2.450424	0.999991723941024	0.93349908965954	0.9968801913085152	0.0206687934988685	1.1236091718172243	0.0128540415409023	Neofunctionalization(Child)	Neofunctionalization(Child)	Neofunctionalization(Child)	Neofunctionalization(Child)	classified	Conservation	discordant
TD	Pbre1_01G175000	Pbre1_01G175200	Prupe.2G189100.1														missing_expression_record		discordant
TD	Pbre1_01G186000	Pbre1_01G186200	Prupe.2G195300.1	3.215646833333333	0.1246319999999999	9.7732795	0.9945200171955026	0.9493662867571278	0.973358702044728	0.136190999217149	0.1755388050468952	0.1320680158561886	Conservation	Specialization	Specialization	discordant	classified	Subfunctionalization	discordant
TD	Pbre1_01G188200	Pbre1_01G188400	Prupe.2G196600.1	0.8305648333333334	0.231484	1.0423971666666667	0.934732669409447	0.9422306109779488	0.9994748319293852	0.3411768014203253	0.3055785244367034	0.3333465035368996	Conservation	Neofunctionalization(Parent)	Neofunctionalization(Parent)	discordant	classified	Neofunctionalization(Child)	discordant
TD	Pbre1_01G191200	Pbre1_01G191400	Prupe.2G198700.1	4.362407	13.411175166666666	37.93001966666667	0.9982639695352448	0.7556969692585919	0.8750304681982037	0.4143133171843665	0.5923909963225398	0.3675955164311235	Subfunctionalization	Neofunctionalization(Parent)	Neofunctionalization(Parent)	discordant	classified	Neofunctionalization(Parent)	discordant
TD	Pbre1_01G222000	Pbre1_01G222200	Prupe.2G214400.1	52.15242933333333	2.4129051666666665	104.34792566666668	0.6854485477613877	0.6866448664773867	0.2919813162848868	0.2003429129690674	0.4372055014970932	0.1843294091454189	Neofunctionalization(Child)	Neofunctionalization(Child)	Neofunctionalization(Child)	Neofunctionalization(Child)	classified	Conservation	discordant
TD	Pbre1_01G227800	Pbre1_01G228000	Prupe.2G218000.1	0.1929786666666666	0.2075795	1.4349275	0.9562538944744776	0.7242548558986994	0.8386666756200158	0.8617516214837591	0.7728322481596547	0.7633154028518118	Specialization	Specialization	Specialization	Specialization	classified	Neofunctionalization(Child)	discordant
TD	Pbre1_01G242200	Pbre1_01G242400	Prupe.2G227500.1	11.167723166666669	24.745118166666668	37.65436666666667	0.6290536889270923	0.4989308072990177	0.48718978229486	0.3698365052637717	0.115191732645528	0.1533875440893211	Conservation	Conservation	Conservation	Conservation	classified	Neofunctionalization(Parent)	discordant
TD	Pbre1_01G249400	Pbre1_01G249600	Prupe.2G231700.1	13.6340905	36.140987	45.825050833333336	0.4991639052787804	0.5051389108234525	0.7109811554187225	0.2907864970454507	0.2098865704277113	0.2154709860905544	Conservation	Conservation	Conservation	Conservation	classified	Neofunctionalization(Child)	discordant
TD	Pbre1_01G253400	Pbre1_01G253600	Prupe.2G234200.1	0.7838878333333333	0.8544605	0.3555775	0.6547139099152158	0.7161057311133764	0.7836897769625539	0.5105356504828488	0.5211612894030386	0.514096987052516	Specialization	Specialization	Specialization	Specialization	classified	Subfunctionalization	discordant
